#add/remove	reactant_required_group(to remove)	diff_group	product_group(to add)	diff_mass	description
-	H2	H2		-2.015650	line_0
+		H2	H2	2.015650	line_1
-	CH2	CH2		-14.015650	line_2
+		CH2	CH2	14.015650	line_3
-	NH	NH		-15.010899	line_4
+		NH	NH	15.010899	line_5
-	O	O		-15.994915	line_6
+		O	O	15.994915	line_7
-	NH3	NH3		-17.026549	line_8
+		NH3	NH3	17.026549	line_9
-	H2O	H2O		-18.010565	line_10
+		H2O	H2O	18.010565	line_11
-	CO	CO		-27.994915	line_12
+		CO	CO	27.994915	line_13
-	C2H4	C2H4		-28.031300	line_14
+		C2H4	C2H4	28.031300	line_15
-	C2H2O	C2H2O		-42.010565	line_16
+		C2H2O	C2H2O	42.010565	line_17
-	CO2	CO2		-43.989830	line_18
+		CO2	CO2	43.989830	line_19
-	SO3H	O3	SH	-47.984745	line_20
+	SH	O3	SO3H	47.984745	line_21
-	C2H3NO	C2H3NO		-57.021464	line_22
+		C2H3NO	C2H3NO	57.021464	line_23
-	SO3	SO3		-79.956817	line_24
+		SO3	SO3	79.956817	line_25
-	HPO3	HPO3		-79.966333	line_26
+		HPO3	HPO3	79.966333	line_27
-	C4H3N3	C4H3N3		-93.032697	line_28
+		C4H3N3	C4H3N3	93.032697	line_29
-	C4H2N2O	C4H2N2O		-94.016713	line_30
+		C4H2N2O	C4H2N2O	94.016713	line_31
-	C3H5NOS	C3H5NOS		-103.009186	line_32
+		C3H5NOS	C3H5NOS	103.009186	line_33
-	C2H5NO2S	C2H5NO2S		-107.004101	line_34
+		C2H5NO2S	C2H5NO2S	107.004101	line_35
-	C5H4N2O	C5H4N2O		-108.032363	line_36
+		C5H4N2O	C5H4N2O	108.032363	line_37
-	C5H5N5	(C5H5N5-H2O)	H2O	-117.043930	line_38
+	H2O	(C5H5N5-H2O)	C5H5N5	117.043930	line_39
-	C3H5NO2S	C3H5NO2S		-119.004101	line_40
+		C3H5NO2S	C3H5NO2S	119.004101	line_41
-	C5H8O4	C5H8O4		-132.042260	line_42
+		C5H8O4	C5H8O4	132.042260	line_43
-	C5H3N5	C5H3N5		-133.038845	line_44
+		C5H3N5	C5H3N5	133.038845	line_45
-	C7H13NO2	C7H13NO2		-143.094629	line_46
+		C7H13NO2	C7H13NO2	143.094629	line_47
-	C5H7NO3S	C5H7NO3S		-161.014666	line_48
+		C5H7NO3S	C5H7NO3S	161.014666	line_49
-	C6H10O5	C6H10O5		-162.052825	line_50
+		C6H10O5	C6H10O5	162.052825	line_51
-	C6H8O6	C6H8O6		-176.032090	line_52
+		C6H8O6	C6H8O6	176.032090	line_53
-	C10H12N2O4	C10H12N2O4		-224.079708	line_54
+		C10H12N2O4	C10H12N2O4	224.079708	line_55
-	C9H11N3O4	C9H11N3O4		-225.074957	line_56
+		C9H11N3O4	C9H11N3O4	225.074957	line_57
-	C9H10N2O5	C9H10N2O5		-226.058973	line_58
+		C9H10N2O5	C9H10N2O5	226.058973	line_59
-	C16H30O	C16H30O		-238.229665	line_60
+		C16H30O	C16H30O	238.229665	line_61
-	C6H11O8P	C6H11O8P		-242.019158	line_62
+		C6H11O8P	C6H11O8P	242.019158	line_63
-	C10H11N5O3	C10H11N5O3		-249.086190	line_64
+		C10H11N5O3	C10H11N5O3	249.086190	line_65
-	C10H11N5O4	C10H11N5O4		-265.081105	line_66
+		C10H11N5O4	C10H11N5O4	265.081105	line_67
-	C10H15N3O5S	C10H15N3O5S		-289.073244	line_68
+		C10H15N3O5S	C10H15N3O5S	289.073244	line_69
-	C10H15N3O6S	C10H15N3O6S		-305.068159	line_70
+		C10H15N3O6S	C10H15N3O6S	305.068159	line_71
-	C12H20O10	C12H20O10		-324.105650	line_72
+		C12H20O10	C12H20O10	324.105650	line_73
-	C18H30O15	C18H30O15		-486.158475	line_74
+		C18H30O15	C18H30O15	486.158475	line_75
