delta_mz	count_estimate	mass_signature	note	dict	type
48.021	121	48.021131	addition of Hexose and loss of glutaryl. Reaction: (+C6H10O5) and (-C5H6O3)	"{'C': 1, 'H': 4, 'O': 2}"	modification
35.9999	121	36		{'C': 3}	modification
0.9935	120				
29.9895	120				
54.0468	119	54.04695	butyrylation and loss of oxygen. Reaction: (+C4H6O) and (-O)	"{'C': 4, 'H': 6}"	modification
62.0367	119	62.036779		"{'C': 2, 'H': 6, 'O': 2}"	modification
68.0261	118	68.0262	crotonylation. Reaction: (+C4H4O)	"{'C': 4, 'H': 4, 'O': 1}"	modification
60.0574	117	60.057515		"{'C': 3, 'H': 8, 'O': 1}"	modification
97.9769	117	97.9769	"± H3PO4, phosphorous compounds"	"{'O': 4, 'H': 3, 'P': 1}"	modification
0.9951	116	0.995248	addition of nitro and loss of CO2. Reaction: (+NO2-H) and (-CO2)	"{'C': -1, 'H': -1, 'N': 1}"	modification
34.0418	116				
78.0164	116				
1.9945	115				
44.9931	114				
5.9894	113	5.989435	addition of phenyl and loss of butyryl. Reaction: (+C6H5-H) and (-C4H6O)	"{'C': 2, 'H': -2, 'O': -1}"	modification
24.0443	113	24.044451	addition of acetic acid and dechlorination. Reaction: (+C2H2O2) and (-Cl+H)	"{'C': 2, 'H': 3, 'O': 2, 'Cl': -1}"	modification
7.9686	113				
67.9897	113	67.989829	malonylation and loss of water. Reaction: (+C3H2O3) and (-H2O)	"{'C': 3, 'O': 2}"	modification
41.0265	112	41.026549	Acetonitrile	"{'C': 2, 'H': 3, 'N': 1}"	modification
90.0316	111	90.031694	lactic acid	"{'C': 3, 'H': 6, 'O': 3}"	modification
52.0134	111				
77.9772	111				
86.0366	110	86.036779	addition of C2H4 and addition of acetic acid. Reaction: (+C2H4) and (+C2H2O2)	"{'C': 4, 'H': 6, 'O': 2}"	modification
61.9704	110				
82.0053	108	82.005479	succinylation and loss of water. Reaction: (+C4H4O3) and (-H2O)	"{'C': 4, 'H': 2, 'O': 2}"	modification
70.0054	107	70.005479	pyruvate	"{'C': 3, 'H': 2, 'O': 2}"	modification
22.0418	107				
83.0064	106				
0.9994	106				
17.9741	105	17.974179	malonylation and loss of crotonyl. Reaction: (+C3H2O3) and (-C4H4O)	"{'C': -1, 'H': -2, 'O': 2}"	modification
27.0109	105	27.0109	"± HCN, nitrile compounds"	"{'N': 1, 'H': 1, 'C': 1}"	modification
76.0159	103	76.016044	addition of water and addition of acetic acid. Reaction: (+H2O) and (+C2H2O2)	"{'C': 2, 'H': 4, 'O': 3}"	modification
16.9982	103				
14.9914	103				
0.984	102	0.984015	addition of acetic acid and loss of glycine. Reaction: (+C2H2O2) and (-C2H3NO)	"{'H': -1, 'N': -1, 'O': 1}"	modification
83.9612	102	83.961361	KCOOH	"{'O': 2, 'C': 1, 'K': 1, 'H': 1}"	modification
6.0469	102				
19.9897	101	19.98983	Thiol to Sulfonic acid and loss of CO. Reaction: (SH -> SO3H) and (-CO)	"{'C': -1, 'O': 2}"	modification
96.0186	101				
22.0206	101				
84.0575	101	84.057515	addition of C2H4 and propionylation. Reaction: (+C2H4) and (+C3H4O)	"{'C': 5, 'H': 8, 'O': 1}"	modification
19.0139	100				
27.0278	100				
48.0575	100				
